case,t,att_err_angle_E,att_err_angle_Q,tau_norm_E,tau_norm_Q,omega_norm_E,omega_norm_Q,eR_norm_E,eR_norm_Q,condE
NearSingularity_90deg,3.1750000000000003,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.176,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.177,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.178,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1790000000000003,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.18,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.181,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.182,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1830000000000003,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.184,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.185,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.186,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1870000000000003,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.188,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.189,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.19,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.1910000000000003,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.192,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.193,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
NearSingularity_90deg,3.194,0.0,0.0,1.0097419586828951e-28,1.0097419586828951e-28,7.993605777301122e-14,7.350356717430467e-14,1.9984014443252818e-15,1.837589179357618e-15,2.664801917231696e+20
